2026-09-20 18:25:44 startup archives install
2026-09-20 18:25:44 install base-passwd:amd64 <none> 3.6.7
2026-09-20 18:25:44 status half-installed base-passwd:amd64 3.6.7
2026-09-20 18:25:44 status unpacked base-passwd:amd64 3.6.7
2026-09-20 18:25:44 configure base-passwd:amd64 3.6.7 3.6.7
2026-09-20 18:25:44 status half-configured base-passwd:amd64 3.6.7
2026-09-20 18:25:44 status installed base-passwd:amd64 3.6.7
2026-09-20 18:25:44 startup archives install
2026-09-20 18:25:44 install base-files:amd64 <none> 13.8+deb13u7
2026-09-20 18:25:44 status half-installed base-files:amd64 13.8+deb13u7
2026-09-20 18:25:44 status unpacked base-files:amd64 13.8+deb13u7
2026-09-20 18:25:44 configure base-files:amd64 13.8+deb13u7 13.8+deb13u7
2026-09-20 18:25:44 status half-configured base-files:amd64 13.8+deb13u7
2026-09-20 18:25:45 status installed base-files:amd64 13.8+deb13u7
2026-09-20 18:25:45 startup archives install
2026-09-20 18:25:45 upgrade dpkg 1.22.22 1.22.22
2026-09-20 18:25:45 status half-configured dpkg 1.22.22
2026-09-20 18:25:45 status unpacked dpkg 1.22.22
2026-09-20 18:25:45 status half-installed dpkg 1.22.22
2026-09-20 18:25:45 status unpacked dpkg:amd64 1.22.22
2026-09-20 18:25:45 configure dpkg:amd64 1.22.22 1.22.22
2026-09-20 18:25:45 status half-configured dpkg:amd64 1.22.22
2026-09-20 18:25:45 status installed dpkg:amd64 1.22.22
2026-09-20 18:25:45 startup archives install
2026-09-20 18:25:45 install libc6:amd64 <none> 2.41-12+deb13u4
2026-09-20 18:25:45 status half-installed libc6:amd64 2.41-12+deb13u4
2026-09-20 18:25:46 status unpacked libc6:amd64 2.41-12+deb13u4
2026-09-20 18:25:46 configure libc6:amd64 2.41-12+deb13u4 2.41-12+deb13u4
2026-09-20 18:25:46 status half-configured libc6:amd64 2.41-12+deb13u4
2026-09-20 18:25:46 status installed libc6:amd64 2.41-12+deb13u4
2026-09-20 18:25:46 startup archives install
2026-09-20 18:25:46 install perl-base:amd64 <none> 5.40.1-6+deb13u1
